SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
IMPAD1	54928	21.471	18.6104	cerebral-cortex	glial-cells	High	Supported
IMPDH1	3614	6.5913	6.02195	cerebral-cortex	glial-cells	Medium	Approved
IMPDH1P10	100874399	0	0	NA	NA	NA	NA
IMPDH2	3615	72.7221	88.1934	cerebral-cortex	glial-cells	Low	Approved
IMPG1	3617	0.353827	0.256041	NA	NA	NA	NA
IMPG2	50939	0.229097	0.124566	NA	NA	NA	NA
INA	9118	14.1847	13.8308	NA	NA	NA	NA
INCA1	388324	1.43791	0.985143	NA	NA	NA	NA
INCENP	3619	41.5489	27.6013	NA	NA	NA	NA
INF2	64423	10.7562	12.0685	cerebral-cortex	glial-cells	Low	Approved
ING1	3621	12.9201	10.6989	cerebral-cortex	glial-cells	Medium	Approved
ING2	3622	18.1603	21.0272	cerebral-cortex	glial-cells	Medium	Supported
ING3	54556	22.6125	19.3403	NA	NA	NA	NA
ING4	51147	37.2231	52.4518	NA	NA	NA	NA
ING5	84289	21.5516	18.188	NA	NA	NA	NA
INHA	3623	0.836844	0.754087	NA	NA	NA	NA
INHBA	3624	0.0939148	0.254399	NA	NA	NA	NA
INHBB	3625	6.43808	9.50553	NA	NA	NA	NA
INHBE	83729	0.0407011	0.267717	NA	NA	NA	NA
INIP	58493	20.0806	13.8094	cerebral-cortex	glial-cells	Low	Approved
INO80	54617	8.34719	7.8652	NA	NA	NA	NA
INO80B	83444	13.6694	17.368	NA	NA	NA	NA
INO80C	125476	14.9228	17.0406	NA	NA	NA	NA
INO80D	54891	3.12843	2.30661	cerebral-cortex	glial-cells	Low	Approved
INO80E	283899	29.9232	30.8592	cerebral-cortex	glial-cells	High	Approved
INPP1	3628	6.42366	6.67212	cerebral-cortex	glial-cells	Low	Supported
