SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
C16orf92	146378	0	0	0.751864	0.193173	NA	NA	NA	NA
C16orf95	100506581	1.09659	1.1346	1.49571	1.37014	NA	NA	NA	NA
C17orf100	388327	0.410452	0.178963	0.289572	0	NA	NA	NA	NA
C17orf107	100130311	0.0963667	0.155355	0.108971	0.249356	NA	NA	NA	NA
C17orf49	124944	73.9002	63.6018	37.5958	48.0653	cerebral-cortex	glial-cells	High	Supported
C17orf67	339210	1.45611	0.84791	0.900862	0.923767	NA	NA	NA	NA
C17orf75	64149	21.2892	18.5391	15.6692	13.9372	cerebral-cortex	glial-cells	Medium	Approved
C17orf78	284099	0.0241824	0.157842	0.230039	0.326994	NA	NA	NA	NA
C17orf80	55028	24.7308	21.9255	24.9134	20.6299	NA	NA	NA	NA
C17orf82	388407	0.268083	0.49018	0.141744	0.26546	NA	NA	NA	NA
C18orf21	83608	23.169	22.597	30.9602	28.4192	NA	NA	NA	NA
C18orf25	147339	14.8546	15.5673	19.639	14.9724	NA	NA	NA	NA
C18orf32	497661	98.0137	96.0057	66.4826	116.68	cerebral-cortex	glial-cells	High	Approved
C18orf54	162681	1.50667	2.08826	3.64027	2.74901	NA	NA	NA	NA
C19orf12	83636	16.7753	14.7913	17.063	15.6889	cerebral-cortex	glial-cells	Low	Approved
C19orf18	147685	0.998064	1.04281	1.16096	2.61193	NA	NA	NA	NA
C19orf25	148223	25.1284	30.7055	19.1395	21.3473	NA	NA	NA	NA
C19orf38	255809	0.120212	0.243238	0.0438619	0.468884	NA	NA	NA	NA
C19orf44	84167	5.03825	4.07045	4.00269	3.74232	NA	NA	NA	NA
C19orf47	126526	11.0806	6.86138	11.2066	11.1752	cerebral-cortex	glial-cells	Low	Enhanced
C19orf48	84798	16.7437	20.1135	25.7296	13.8685	NA	NA	NA	NA
