SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
AKNA	80709	3.70729	5.83478	NA	NA	NA	NA
AKNAD1	254268	6.03158	0.996264	NA	NA	NA	NA
AKR1A1	10327	107.985	94.272	NA	NA	NA	NA
AKR1B1	231	149.709	70.5077	NA	NA	NA	NA
AKR1C1	1645	18.5912	20.6781	NA	NA	NA	NA
AKR1C3	8644	1.0301	0.76159	cerebral-cortex	glial-cells	Medium	Enhanced
AKR1E2	83592	0	0.20107	cerebral-cortex	glial-cells	Low	Enhanced
AKR7A2	8574	37.9765	27.5167	cerebral-cortex	glial-cells	Medium	Enhanced
AKR7A2P1	246182	0.151436	0.118824	NA	NA	NA	NA
AKR7A3	22977	0.762436	0.482614	NA	NA	NA	NA
AKR7L	246181	1.6912	0.952022	NA	NA	NA	NA
AKT1	207	105.183	73.0611	cerebral-cortex	glial-cells	Medium	Supported
AKT1S1	84335	41.5325	33.1692	NA	NA	NA	NA
AKT2	208	48.7791	50.4667	NA	NA	NA	NA
AKT3	10000	9.12191	13.4719	cerebral-cortex	glial-cells	High	Approved
AKT3-IT1	100874263	0	0	NA	NA	NA	NA
AKTIP	64400	15.4544	12.8306	cerebral-cortex	glial-cells	Low	Approved
ALAD	210	12.288	12.1732	cerebral-cortex	glial-cells	Low	Enhanced
ALAS1	211	22.5627	25.3947	cerebral-cortex	glial-cells	Medium	Enhanced
ALB	213	0.0962573	0.377462	NA	NA	NA	NA
ALCAM	214	7.19064	9.14597	NA	NA	NA	NA
ALDH16A1	126133	13.9696	14.5217	cerebral-cortex	glial-cells	Low	Approved
ALDH18A1	5832	30.1074	33.7202	NA	NA	NA	NA
ALDH1A1	216	1.21029	0.157643	NA	NA	NA	NA
ALDH1A2	8854	69.2724	32.9855	cerebral-cortex	glial-cells	Medium	Approved
ALDH1A3	220	8.43658	5.9201	NA	NA	NA	NA
ALDH1B1	219	28.2905	17.313	cerebral-cortex	glial-cells	Medium	Approved
ALDH1L1	10840	0.192566	0.307245	cerebral-cortex	glial-cells	Medium	Enhanced
ALDH1L2	160428	0.848313	5.29567	cerebral-cortex	glial-cells	Medium	Approved
ALDH2	217	23.4885	28.3009	NA	NA	NA	NA
ALDH3A2	224	16.4991	14.6108	NA	NA	NA	NA
ALDH3B1	221	0.330241	0.206239	NA	NA	NA	NA
ALDH4A1	8659	10.7956	5.13289	cerebral-cortex	glial-cells	Medium	Enhanced
ALDH5A1	7915	3.25142	2.89422	cerebral-cortex	glial-cells	Low	Enhanced
ALDH6A1	4329	5.18894	4.69763	cerebral-cortex	glial-cells	High	Enhanced
ALDH7A1	501	92.0598	100.051	cerebral-cortex	glial-cells	Medium	Enhanced
ALDH7A1P1	541	1.51942	1.38132	NA	NA	NA	NA
ALDH8A1	64577	0.478834	0.539204	NA	NA	NA	NA
ALDH9A1	223	32.5008	33.6088	cerebral-cortex	glial-cells	Medium	Approved
ALDOA	226	666.441	723.283	NA	NA	NA	NA
ALDOC	230	9.09975	14.3104	cerebral-cortex	glial-cells	Medium	Enhanced
ALG1	56052	8.60661	10.1518	cerebral-cortex	glial-cells	Low	Approved
ALG10	84920	1.399	4.0647	cerebral-cortex	glial-cells	Medium	Approved
ALG10B	144245	1.10079	1.80395	cerebral-cortex	glial-cells	Medium	Approved
ALG11	440138	4.76928	6.31753	NA	NA	NA	NA
ALG12	79087	5.0367	6.48682	NA	NA	NA	NA
ALG13	79868	17.8988	16.1884	cerebral-cortex	glial-cells	Low	Approved
ALG14	199857	2.92188	3.16133	NA	NA	NA	NA
ALG1L	200810	0.229715	0.101804	NA	NA	NA	NA
ALG1L15P	730086	0.997742	0.498854	NA	NA	NA	NA
ALG1L2	644974	0.175369	0	NA	NA	NA	NA
ALG2	85365	23.5614	27.0389	NA	NA	NA	NA
ALG3	10195	16.3488	15.1746	cerebral-cortex	glial-cells	Low	Approved
ALG5	29880	25.4325	26.142	NA	NA	NA	NA
ALG6	29929	11.2343	8.24127	NA	NA	NA	NA
ALG8	79053	36.6701	28.8546	cerebral-cortex	glial-cells	Low	Approved
ALK	238	0.11022	0.67533	NA	NA	NA	NA
ALKBH1	8846	8.45048	8.65213	cerebral-cortex	glial-cells	Medium	Approved
ALKBH2	121642	20.2748	12.9453	cerebral-cortex	glial-cells	Low	Approved
ALKBH3	221120	15.6004	16.8873	NA	NA	NA	NA
ALKBH3-AS1	100507300	0.340514	0.315861	NA	NA	NA	NA
ALKBH4	54784	9.53587	8.5728	cerebral-cortex	glial-cells	Low	Approved
ALKBH5	54890	32.725	30.7887	cerebral-cortex	glial-cells	High	Approved
ALKBH6	84964	13.4803	10.5961	NA	NA	NA	NA
ALKBH7	84266	60.7904	30.4777	NA	NA	NA	NA
ALKBH8	91801	3.7414	5.0102	cerebral-cortex	glial-cells	Low	Approved
ALMS1	7840	9.42356	7.00544	NA	NA	NA	NA
ALMS1-IT1	100874291	0.864493	0.18014	NA	NA	NA	NA
ALOX12	239	0.504242	0.309647	NA	NA	NA	NA
ALPK1	80216	3.17511	2.3448	NA	NA	NA	NA
ALPK2	115701	9.67702	3.46581	NA	NA	NA	NA
ALPK3	57538	2.24719	1.52955	NA	NA	NA	NA
ALPL	249	3.14167	3.01845	NA	NA	NA	NA
ALS2	57679	9.76318	12.9118	NA	NA	NA	NA
ALS2CL	259173	0.182922	0.196703	NA	NA	NA	NA
ALX1	8092	1.05427	0.412459	NA	NA	NA	NA
ALYREF	10189	86.3899	82.4053	cerebral-cortex	glial-cells	High	Supported
AMACR	23600	7.1825	14.5685	NA	NA	NA	NA
AMBP	259	0.0443142	0.0693515	NA	NA	NA	NA
AMBRA1	55626	7.64105	8.76028	cerebral-cortex	glial-cells	Low	Approved
AMD1	262	39.372	49.6111	NA	NA	NA	NA
AMDHD1	144193	0	0.152496	NA	NA	NA	NA
AMDHD2	51005	8.96313	9.81116	NA	NA	NA	NA
AMER1	139285	2.96961	2.71204	cerebral-cortex	glial-cells	High	Approved
AMER2	219287	0.104474	0.422383	cerebral-cortex	glial-cells	High	Enhanced
AMFR	267	27.6276	29.7332	cerebral-cortex	glial-cells	Medium	Approved
AMH	268	13.839	14.5627	NA	NA	NA	NA
AMIGO1	57463	2.9505	2.50465	cerebral-cortex	glial-cells	Low	Approved
AMIGO2	347902	4.61592	5.93498	NA	NA	NA	NA
AMIGO3	386724	4.80276	4.82998	NA	NA	NA	NA
AMMECR1	9949	2.54269	4.50395	NA	NA	NA	NA
AMMECR1L	83607	9.77635	14.4349	NA	NA	NA	NA
AMN	81693	0.197577	0.417758	NA	NA	NA	NA
AMN1	196394	3.98486	2.38307	NA	NA	NA	NA
AMOT	154796	18.6058	47.023	NA	NA	NA	NA
AMOTL1	154810	12.4787	34.4425	NA	NA	NA	NA
AMOTL2	51421	31.1652	11.5609	NA	NA	NA	NA
AMPD2	271	28.8558	38.5068	cerebral-cortex	glial-cells	Low	Approved
AMPD3	272	0.887919	2.00724	NA	NA	NA	NA
AMPH	273	9.75121	10.7539	cerebral-cortex	glial-cells	Medium	Enhanced
AMT	275	9.673	8.77067	cerebral-cortex	glial-cells	Low	Supported
AMY2B	280	2.86997	2.05482	NA	NA	NA	NA
AMZ1	155185	0.0623958	0.218547	NA	NA	NA	NA
AMZ2P1	201283	13.0427	8.65028	NA	NA	NA	NA
ANAPC1	64682	5.1376	9.68084	cerebral-cortex	glial-cells	Low	Approved
ANAPC10	10393	24.3992	14.7182	NA	NA	NA	NA
ANAPC10P1	729198	0.445404	0.351807	NA	NA	NA	NA
ANAPC11	51529	196.998	122.508	NA	NA	NA	NA
ANAPC13	25847	100.011	61.6732	NA	NA	NA	NA
ANAPC15	25906	50.0669	30.3955	cerebral-cortex	glial-cells	Medium	Approved
ANAPC16	119504	75.37	50.6888	cerebral-cortex	glial-cells	Low	Approved
ANAPC2	29882	19.2082	17.1541	NA	NA	NA	NA
ANAPC4	29945	17.8394	15.8807	NA	NA	NA	NA
ANAPC5	51433	50.3291	41.1312	cerebral-cortex	glial-cells	High	Supported
ANAPC7	51434	61.6491	49.26	cerebral-cortex	glial-cells	Medium	Approved
ANG	283	3.22539	3.36951	NA	NA	NA	NA
ANGEL1	23357	7.73116	10.5598	NA	NA	NA	NA
ANGEL2	90806	14.612	17.0793	NA	NA	NA	NA
ANGPT1	284	3.77403	4.92093	NA	NA	NA	NA
ANGPT2	285	0.270861	0.810464	NA	NA	NA	NA
ANGPTL1	9068	9.97619	16.1585	NA	NA	NA	NA
ANGPTL2	23452	13.5382	24.7375	NA	NA	NA	NA
ANGPTL4	51129	1.67105	2.75964	NA	NA	NA	NA
ANGPTL6	83854	0.157751	0.064669	NA	NA	NA	NA
ANK1	286	14.9692	4.63367	NA	NA	NA	NA
ANK2	287	25.1106	12.0276	cerebral-cortex	glial-cells	Medium	Enhanced
ANK3	288	7.92858	9.43137	NA	NA	NA	NA
ANKAR	150709	0.693273	0.933476	NA	NA	NA	NA
ANKDD1A	348094	6.06492	4.84558	NA	NA	NA	NA
ANKDD1B	728780	0.0698712	0.0265569	NA	NA	NA	NA
ANKEF1	63926	0.325367	0.532292	cerebral-cortex	glial-cells	Low	Approved
ANKFN1	162282	0.47787	0.153842	NA	NA	NA	NA
ANKFY1	51479	12.4302	20.816	cerebral-cortex	glial-cells	Low	Approved
ANKH	56172	1.28191	2.41186	NA	NA	NA	NA
ANKHD1	54882	47.4677	54.3286	cerebral-cortex	glial-cells	Medium	Approved
ANKHD1-EIF4EBP3	404734	5.36585	3.6852	cerebral-cortex	glial-cells	Low	Approved
ANKIB1	54467	11.7835	18.8837	NA	NA	NA	NA
ANKLE1	126549	1.19912	1.58468	NA	NA	NA	NA
ANKLE2	23141	26.9926	41.1721	NA	NA	NA	NA
ANKMY1	51281	4.21873	4.32167	NA	NA	NA	NA
ANKMY2	57037	13.9971	11.0395	NA	NA	NA	NA
ANKRA2	57763	15.4921	16.9053	cerebral-cortex	glial-cells	Low	Approved
ANKRD1	27063	26.6714	9.86768	NA	NA	NA	NA
ANKRD10	55608	138.035	103.331	NA	NA	NA	NA
ANKRD10-IT1	100505494	5.55994	4.01095	NA	NA	NA	NA
ANKRD11	29123	55.4605	56.7118	cerebral-cortex	glial-cells	Medium	Approved
ANKRD12	23253	40.6765	15.1228	cerebral-cortex	glial-cells	High	Approved
ANKRD13A	88455	16.4648	18.294	NA	NA	NA	NA
ANKRD13B	124930	10.6681	15.7374	NA	NA	NA	NA
ANKRD13C	81573	11.4378	9.50884	NA	NA	NA	NA
ANKRD13D	338692	24.8299	19.7883	NA	NA	NA	NA
ANKRD16	54522	4.00467	3.36964	NA	NA	NA	NA
ANKRD17	26057	30.3284	21.1265	NA	NA	NA	NA
ANKRD18EP	100131031	0.520716	0.530444	NA	NA	NA	NA
ANKRD19P	138649	1.18127	0.315418	NA	NA	NA	NA
ANKRD20A1	84210	0.083304	0.0130051	NA	NA	NA	NA
ANKRD20A18P	391269	0.179016	0	NA	NA	NA	NA
ANKRD20A2	441430	0.0499824	0	NA	NA	NA	NA
ANKRD20A3	441425	0	0.159186	NA	NA	NA	NA
ANKRD20A4	728747	0.0140233	0.0218875	NA	NA	NA	NA
ANKRD20A7P	653436	0.0248517	0.0194127	NA	NA	NA	NA
ANKRD23	200539	0.898932	1.44324	NA	NA	NA	NA
ANKRD24	170961	0.178716	0.112291	NA	NA	NA	NA
ANKRD26	22852	10.5472	7.03357	NA	NA	NA	NA
ANKRD26P4	100873882	0.144529	0.22674	NA	NA	NA	NA
ANKRD27	84079	5.20951	7.05669	NA	NA	NA	NA
ANKRD28	23243	10.0446	14.1776	NA	NA	NA	NA
ANKRD29	147463	1.62512	2.32242	NA	NA	NA	NA
ANKRD33	341405	0.401017	0.33407	NA	NA	NA	NA
ANKRD33B	651746	0.200139	0.187855	NA	NA	NA	NA
ANKRD36	375248	3.62667	2.08177	NA	NA	NA	NA
ANKRD36B	57730	3.85709	3.62047	NA	NA	NA	NA
ANKRD36C	400986	7.26762	2.64821	NA	NA	NA	NA
ANKRD37	353322	3.51067	5.46976	NA	NA	NA	NA
ANKRD39	51239	6.32363	6.51761	NA	NA	NA	NA
ANKRD40	91369	18.8119	21.2867	NA	NA	NA	NA
ANKRD42	338699	2.3288	2.82516	NA	NA	NA	NA
ANKRD44	91526	7.13353	13.6281	NA	NA	NA	NA
ANKRD45	339416	0.219466	0.995985	NA	NA	NA	NA
ANKRD46	157567	18.6915	11.7391	NA	NA	NA	NA
ANKRD49	54851	12.9921	10.0335	cerebral-cortex	glial-cells	Medium	Approved
ANKRD50	57182	11.0889	14.268	NA	NA	NA	NA
ANKRD52	283373	10.2899	22.2751	NA	NA	NA	NA
ANKRD54	129138	15.5783	18.1281	cerebral-cortex	glial-cells	Low	Approved
ANKRD6	22881	4.91642	8.92232	cerebral-cortex	glial-cells	High	Approved
ANKRD61	100310846	0.0516149	0.44455	NA	NA	NA	NA
ANKRD65	441869	0.57587	0.675078	NA	NA	NA	NA
ANKRD9	122416	11.1508	9.59935	NA	NA	NA	NA
ANKS1A	23294	17.36	11.2619	NA	NA	NA	NA
ANKS1B	56899	1.4819	1.96097	NA	NA	NA	NA
ANKS3	124401	13.7422	14.0593	NA	NA	NA	NA
ANKS6	203286	10.8613	8.04834	cerebral-cortex	glial-cells	Medium	Approved
ANKZF1	55139	16.2245	22.1484	NA	NA	NA	NA
ANLN	54443	39.4242	46.451	NA	NA	NA	NA
ANO1	55107	0.173349	0.43911	NA	NA	NA	NA
ANO10	55129	9.07405	15.4385	NA	NA	NA	NA
ANO2	57101	0.439312	0.968063	NA	NA	NA	NA
ANO3	63982	0.474172	0.798622	NA	NA	NA	NA
ANO4	121601	0.354515	2.35109	NA	NA	NA	NA
ANO5	203859	0.480088	0.354419	NA	NA	NA	NA
ANO6	196527	12.2891	23.1041	NA	NA	NA	NA
ANO7	50636	0.225902	0.56387	NA	NA	NA	NA
ANO8	57719	4.62415	9.04648	NA	NA	NA	NA
ANP32A	8125	242.158	216.224	cerebral-cortex	glial-cells	Medium	Supported
ANP32AP1	723972	7.83865	5.02187	NA	NA	NA	NA
ANP32B	10541	265.044	199.998	cerebral-cortex	glial-cells	Medium	Supported
ANP32BP1	646791	5.08865	1.33717	NA	NA	NA	NA
ANP32C	23520	0.636952	0	NA	NA	NA	NA
ANP32E	81611	2.55676	4.6575	cerebral-cortex	glial-cells	Medium	Supported
ANPEP	290	1.61339	3.60626	NA	NA	NA	NA
ANTXR1	84168	42.3178	62.5334	NA	NA	NA	NA
ANTXR2	118429	41.5847	25.6442	NA	NA	NA	NA
ANXA1	301	119.163	234.302	NA	NA	NA	NA
ANXA11	311	63.4635	28.7571	cerebral-cortex	glial-cells	Low	Supported
ANXA2	302	425.355	460.42	NA	NA	NA	NA
ANXA2P1	303	1.19356	0.234109	NA	NA	NA	NA
ANXA2P2	304	43.1185	43.2299	NA	NA	NA	NA
ANXA2R	389289	1.00021	1.24609	NA	NA	NA	NA
ANXA3	306	2.91428	5.3331	NA	NA	NA	NA
ANXA4	307	8.23448	10.074	NA	NA	NA	NA
ANXA5	308	177.826	232.763	cerebral-cortex	glial-cells	Low	Approved
ANXA6	309	268.874	186.695	NA	NA	NA	NA
ANXA7	310	33.2941	37.6985	cerebral-cortex	glial-cells	Low	Approved
ANXA9	8416	0.708618	0.68586	NA	NA	NA	NA
AOAH	313	0.138822	0.020128	cerebral-cortex	glial-cells	Medium	Approved
AOC2	314	0.408808	1.4002	NA	NA	NA	NA
AOC3	8639	1.13893	1.06011	NA	NA	NA	NA
AOX1	316	0.0567906	0.20523	NA	NA	NA	NA
AP1AR	55435	10.5574	11.8836	NA	NA	NA	NA
AP1B1	162	17.6652	18.5396	cerebral-cortex	glial-cells	Low	Approved
AP1G1	164	17.9445	30.5095	cerebral-cortex	glial-cells	Medium	Approved
AP1G2	8906	17.538	15.4272	NA	NA	NA	NA
AP1M1	8907	31.1605	29.3259	NA	NA	NA	NA
AP1S1	1174	39.2939	47.7944	NA	NA	NA	NA
AP1S2	8905	22.0793	23.2688	NA	NA	NA	NA
AP1S3	130340	0.662329	0.653606	NA	NA	NA	NA
AP2A1	160	38.144	36.208	cerebral-cortex	glial-cells	Low	Approved
AP2A2	161	29.0594	27.5971	cerebral-cortex	glial-cells	Medium	Supported
AP2B1	163	24.903	54.4642	cerebral-cortex	glial-cells	Medium	Approved
AP2M1	1173	182.446	204.455	NA	NA	NA	NA
AP2S1	1175	165.913	181.514	NA	NA	NA	NA
AP3B1	8546	35.3705	28.39	cerebral-cortex	glial-cells	Low	Approved
AP3B2	8120	0.180566	1.49485	NA	NA	NA	NA
AP3D1	8943	41.1634	38.3488	NA	NA	NA	NA
AP3M1	26985	25.4682	28.7994	NA	NA	NA	NA
AP3M2	10947	12.14	13.5188	NA	NA	NA	NA
AP3S1	1176	85.5963	58.782	NA	NA	NA	NA
AP3S2	10239	12.9064	14.7661	NA	NA	NA	NA
AP4B1	10717	12.3078	15.9029	cerebral-cortex	glial-cells	Low	Approved
AP4B1-AS1	100287722	0.561913	1.17913	NA	NA	NA	NA
AP4E1	23431	2.99631	3.71424	NA	NA	NA	NA
AP4M1	9179	12.5094	13.6931	NA	NA	NA	NA
AP4S1	11154	9.70754	6.5633	cerebral-cortex	glial-cells	Medium	Approved
AP5B1	91056	1.43013	2.28607	NA	NA	NA	NA
AP5M1	55745	14.6046	19.4508	cerebral-cortex	glial-cells	Low	Approved
AP5S1	55317	6.47991	5.68748	NA	NA	NA	NA
AP5Z1	9907	12.6529	10.8061	cerebral-cortex	glial-cells	Medium	Supported
APAF1	317	25.1273	21.4879	cerebral-cortex	glial-cells	Low	Enhanced
APBA1	320	0.0523855	1.02256	NA	NA	NA	NA
APBA2	321	11.808	11.3992	NA	NA	NA	NA
APBA3	9546	8.31775	10.1253	cerebral-cortex	glial-cells	Low	Approved
APBB1	322	20.1098	22.9228	cerebral-cortex	glial-cells	Low	Approved
APBB2	323	12.7773	18.4666	cerebral-cortex	glial-cells	Medium	Approved
APBB3	10307	13.1123	15.0068	NA	NA	NA	NA
APC	324	5.03185	8.66057	NA	NA	NA	NA
APC2	10297	2.76143	5.29503	NA	NA	NA	NA
APCDD1	147495	3.84282	7.49052	NA	NA	NA	NA
APCDD1L	164284	0.0170974	0.333661	NA	NA	NA	NA
APEH	327	47.7909	40.933	NA	NA	NA	NA
APEX1	328	289.369	186.569	cerebral-cortex	glial-cells	Medium	Supported
APEX2	27301	6.41022	8.97733	NA	NA	NA	NA
APH1A	51107	5.94008	1.73671	cerebral-cortex	glial-cells	Low	Approved
APH1B	83464	8.27181	7.64769	NA	NA	NA	NA
API5	8539	33.5071	43.8859	cerebral-cortex	glial-cells	Medium	Approved
APIP	51074	39.5837	19.4216	cerebral-cortex	glial-cells	Low	Approved
APLF	200558	1.61508	1.78477	NA	NA	NA	NA
APLN	8862	0.657584	3.92634	NA	NA	NA	NA
APLNR	187	0.129479	2.15565	cerebral-cortex	glial-cells	Medium	Approved
APLP1	333	31.5983	38.3144	cerebral-cortex	glial-cells	Low	Enhanced
APLP2	334	68.5629	112.085	cerebral-cortex	glial-cells	Medium	Approved
APMAP	57136	47.3176	53.098	NA	NA	NA	NA
APOA1	335	0.369981	0.348307	NA	NA	NA	NA
APOBEC2	10930	72.7262	13.8168	NA	NA	NA	NA
APOBEC3B	9582	6.32946	12.2262	NA	NA	NA	NA
APOBEC3C	27350	21.2075	23.0534	NA	NA	NA	NA
APOBEC3D	140564	0.71652	0.775609	cerebral-cortex	glial-cells	Medium	Approved
APOBEC3F	200316	2.0894	3.89068	NA	NA	NA	NA
APOBEC3G	60489	0.567228	1.132	NA	NA	NA	NA
APOC1	341	9.12778	7.72703	NA	NA	NA	NA
APOD	347	1.28776	1.09122	cerebral-cortex	glial-cells	High	Enhanced
APOE	348	22.7146	15.4248	cerebral-cortex	glial-cells	High	Enhanced
APOL1	8542	0.0211172	0.375258	NA	NA	NA	NA
APOL2	23780	7.60763	14.5285	NA	NA	NA	NA
APOL3	80833	0.0573302	0.291206	NA	NA	NA	NA
APOL4	80832	1.35027	0.585254	NA	NA	NA	NA
APOL6	80830	0.20087	0.730998	NA	NA	NA	NA
APOLD1	81575	3.86507	5.719	cerebral-cortex	glial-cells	Low	Approved
APOO	79135	30.6161	20.0028	cerebral-cortex	glial-cells	Low	Supported
APOOL	139322	1.97259	3.08872	cerebral-cortex	glial-cells	Medium	Approved
APOOP5	644649	0.144605	0	NA	NA	NA	NA
APP	351	214.38	294.407	NA	NA	NA	NA
APPBP2	10513	14.7703	16.4013	NA	NA	NA	NA
APPL1	26060	13.1377	15.8497	NA	NA	NA	NA
APPL2	55198	25.5825	26.2399	cerebral-cortex	glial-cells	Low	Approved
APRT	353	69.9076	54.4996	NA	NA	NA	NA
APTX	54840	23.9747	24.5669	cerebral-cortex	glial-cells	Medium	Supported
AQP1	358	13.0009	8.05181	NA	NA	NA	NA
AQP11	282679	0.872904	0.374031	NA	NA	NA	NA
AQP3	360	3.90175	3.06967	NA	NA	NA	NA
AQP4	361	0.156731	0.234253	cerebral-cortex	glial-cells	Medium	Enhanced
AQP5	362	0.217591	0.455134	NA	NA	NA	NA
AQR	9716	17.4598	15.2506	NA	NA	NA	NA
AR	367	2.09864	3.13733	NA	NA	NA	NA
ARAF	369	25.0091	20.3638	cerebral-cortex	glial-cells	Low	Approved
ARAP1	116985	19.054	19.3777	cerebral-cortex	glial-cells	Low	Approved
ARAP1-AS1	100874075	18.3363	3.16128	NA	NA	NA	NA
ARAP1-AS2	100506020	0.0685377	0.107845	NA	NA	NA	NA
ARAP2	116984	0.616673	0.276642	NA	NA	NA	NA
ARAP3	64411	1.72225	7.34302	NA	NA	NA	NA
ARC	23237	0.0883631	0.183901	NA	NA	NA	NA
ARCN1	372	2.17754	2.24307	cerebral-cortex	glial-cells	High	Approved
AREL1	9870	10.8589	17.7233	NA	NA	NA	NA
ARF1	375	197.785	186.532	NA	NA	NA	NA
ARF3	377	39.6755	53.3086	NA	NA	NA	NA
ARF4	378	156.107	167.227	NA	NA	NA	NA
ARF4P2	170485	0	0	NA	NA	NA	NA
ARF5	381	149.456	121.392	NA	NA	NA	NA
ARF6	382	26.2146	29.393	NA	NA	NA	NA
ARFGAP1	55738	66.7138	56.0325	NA	NA	NA	NA
ARFGAP2	84364	44.1364	43.1265	cerebral-cortex	glial-cells	Low	Enhanced
ARFGAP3	26286	22.2063	28.1235	NA	NA	NA	NA
ARFGEF1	10565	19.8864	17.4352	cerebral-cortex	glial-cells	Medium	Supported
ARFGEF2	10564	5.80159	8.88007	cerebral-cortex	glial-cells	Medium	Supported
ARFIP1	27236	21.4314	19.7532	NA	NA	NA	NA
ARFIP2	23647	32.0324	30.1132	NA	NA	NA	NA
ARFRP1	10139	17.7886	15.7496	cerebral-cortex	glial-cells	Low	Approved
ARG2	384	4.4136	13.3689	NA	NA	NA	NA
ARGFXP2	503640	0.217076	0.113519	NA	NA	NA	NA
ARGLU1	55082	138.508	136.689	cerebral-cortex	glial-cells	High	Supported
ARHGAP1	392	14.1484	19.558	NA	NA	NA	NA
ARHGAP10	79658	18.8651	17.0585	NA	NA	NA	NA
ARHGAP11A	9824	18.1601	30.9583	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP11B	89839	8.41333	15.2578	NA	NA	NA	NA
ARHGAP12	94134	21.9053	17.644	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP15	55843	3.17922	1.12034	NA	NA	NA	NA
ARHGAP17	55114	21.9461	28.3255	NA	NA	NA	NA
ARHGAP18	93663	1.81416	4.9143	NA	NA	NA	NA
ARHGAP19	84986	15.3427	12.9414	NA	NA	NA	NA
ARHGAP19-SLIT1	100533184	0.158495	0.430617	NA	NA	NA	NA
ARHGAP20	57569	2.46645	1.03998	NA	NA	NA	NA
ARHGAP21	57584	17.6982	24.411	cerebral-cortex	glial-cells	Low	Approved
ARHGAP22	58504	0.434	0.763658	NA	NA	NA	NA
ARHGAP23	57636	2.72629	2.93952	NA	NA	NA	NA
ARHGAP23P1	102577425	0.221261	0.0741166	NA	NA	NA	NA
ARHGAP24	83478	16.6181	14.8524	cerebral-cortex	glial-cells	Low	Approved
ARHGAP26	23092	4.61948	10.115	NA	NA	NA	NA
ARHGAP28	79822	22.4381	30.8369	NA	NA	NA	NA
ARHGAP29	9411	11.7985	16.479	NA	NA	NA	NA
ARHGAP30	257106	0.0794822	0.128518	NA	NA	NA	NA
ARHGAP31	57514	2.50118	3.84431	cerebral-cortex	glial-cells	Low	Approved
ARHGAP31-AS1	100874246	0.37689	0.297057	NA	NA	NA	NA
ARHGAP32	9743	2.73619	4.96916	NA	NA	NA	NA
ARHGAP33	115703	9.96145	10.6919	cerebral-cortex	glial-cells	Low	Supported
ARHGAP35	2909	15.694	21.2277	cerebral-cortex	glial-cells	Low	Approved
ARHGAP39	80728	8.51333	5.55723	NA	NA	NA	NA
ARHGAP4	393	0.218969	0.485814	NA	NA	NA	NA
ARHGAP42	143872	6.66148	15.4737	NA	NA	NA	NA
ARHGAP44	9912	0.574011	1.69304	NA	NA	NA	NA
ARHGAP5	394	18.1202	31.3169	NA	NA	NA	NA
ARHGAP5-AS1	84837	2.27884	2.21827	NA	NA	NA	NA
ARHGAP6	395	9.30808	5.78532	cerebral-cortex	glial-cells	Medium	Enhanced
ARHGAP8	23779	2.3098	0.56767	NA	NA	NA	NA
ARHGAP9	64333	14.5137	4.19346	NA	NA	NA	NA
ARHGDIA	396	91.4041	130.427	cerebral-cortex	glial-cells	Low	Approved
ARHGDIB	397	7.67256	34.6019	cerebral-cortex	glial-cells	Medium	Enhanced
ARHGDIG	398	0.265108	0.296247	NA	NA	NA	NA
ARHGEF1	9138	1.81134	0.746349	NA	NA	NA	NA
ARHGEF10	9639	11.2128	12.5019	NA	NA	NA	NA
ARHGEF10L	55160	4.49578	6.01668	cerebral-cortex	glial-cells	Low	Approved
ARHGEF11	9826	7.8905	11.968	cerebral-cortex	glial-cells	Low	Enhanced
ARHGEF12	23365	19.2203	26.2895	NA	NA	NA	NA
ARHGEF16	27237	0.851122	2.07768	NA	NA	NA	NA
ARHGEF17	9828	23.805	26.6341	NA	NA	NA	NA
ARHGEF18	23370	6.71319	9.27651	NA	NA	NA	NA
ARHGEF19	128272	2.94273	4.40499	NA	NA	NA	NA
ARHGEF2	9181	71.8332	58.8501	cerebral-cortex	glial-cells	Low	Approved
ARHGEF25	115557	21.7525	18.3241	NA	NA	NA	NA
ARHGEF26	26084	1.99655	2.78229	NA	NA	NA	NA
ARHGEF26-AS1	100507524	0.262501	0.0537926	NA	NA	NA	NA
ARHGEF28	64283	2.81762	3.95685	NA	NA	NA	NA
ARHGEF3	50650	5.97465	3.85181	NA	NA	NA	NA
ARHGEF33	100271715	0.248012	0.0888947	NA	NA	NA	NA
ARHGEF37	389337	2.30603	1.59791	NA	NA	NA	NA
ARHGEF38	54848	0.306971	0.130784	NA	NA	NA	NA
ARHGEF39	84904	7.39805	6.71959	NA	NA	NA	NA
ARHGEF4	50649	2.12128	2.52716	NA	NA	NA	NA
ARHGEF40	55701	44.9518	54.7752	NA	NA	NA	NA
ARHGEF6	9459	9.30406	5.686	NA	NA	NA	NA
ARHGEF7	8874	25.6496	23.654	cerebral-cortex	glial-cells	Low	Approved
ARHGEF7-AS2	100874238	0.461429	0.123316	NA	NA	NA	NA
ARID1A	8289	28.8648	34.7772	cerebral-cortex	glial-cells	Low	Supported
ARID1B	57492	11.0086	15.8653	cerebral-cortex	glial-cells	Low	Approved
ARID2	196528	12.7193	11.4553	NA	NA	NA	NA
ARID3A	1820	11.6393	16.0346	NA	NA	NA	NA
ARID3B	10620	4.39055	9.05633	NA	NA	NA	NA
